Course	Semester	Format	School	Level	Topic	Sections	Hours
LIS 461	su21	WWW	UW-Madison	Undergraduate	Ethics and Social Issues	2	4
LIS 341	su20	WWW	UW-Madison	Undergraduate, Graduate	Ethics and Social Issues	2	1
LIS 640	su19	WWW	UW-Madison	Graduate	Writing	1	1
LIS 351	sp19	Hybrid	UW-Madison	Undergraduate	Writing, Web Design and Development, Database Design, Security, Ethics and Social Issues	4	3
LIS 351	fa19	Hybrid	UW-Madison	Undergraduate	Writing, Web Design and Development, Database Design, Security, Ethics and Social Issues	4	3
LIS 351	sp20	Hybrid	UW-Madison	Undergraduate	Writing, Web Design and Development, Database Design, Security, Ethics and Social Issues	4	3
CIT 144	fa20	WWW	KCTCS	Undergraduate	Computer Programming, Data Science	1	3
CIT 144	sp21	WWW	KCTCS	Undergraduate	Computer Programming, Data Science	1	3
CIT 144	fa21	WWW	KCTCS	Undergraduate	Computer Programming, Data Science	1	3
CIT 144	sp22	WWW	KCTCS	Undergraduate	Computer Programming, Data Science	1	3
CIT 111	fa17	WWW	KCTCS	Undergraduate	Computer Networking and Hardware	1	3
CIT 143	fa17	F2F	KCTCS	Undergraduate	Computer Programming	1	3
CIT 143	sp18	F2F	KCTCS	Undergraduate	Computer Programming	1	3
CIT 143	sp19	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 143	sp20	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 1484	fa17	F2F	KCTCS	Workforce Training	Computer Programming	1	0.8
CIT 105	sp17	F2F	KCTCS	Undergraduate	Office, Writing, Computer Networking and Hardware	1	3
CIT 105	su17	F2F	KCTCS	Undergraduate	Office, Writing, Computer Networking and Hardware	1	3
CIT 105	fa17	F2F	KCTCS	Undergraduate	Office, Writing, Computer Networking and Hardware	2	3
CIT 105	sp18	F2F	KCTCS	Undergraduate	Office, Writing, Computer Networking and Hardware	2	3
CIT 120	sp17	F2F	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	fa17	F2F	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	sp18	F2F	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	sp19	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	fa19	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	sp20	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	fa20	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	sp21	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	fa21	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 120	sp22	WWW	KCTCS	Undergraduate	Computer Programming	1	3
CIT 155	sp17	F2F	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 155	fa19	WWW	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 155	fa20	WWW	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 170	sp17	F2F	KCTCS	Undergraduate	Database Design	1	3
CIT 157	fa16	F2F	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 157	sp18	WWW	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 157	sp19	WWW	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 157	fa19	WWW	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 157	sp20	WWW	KCTCS	Undergraduate	Web Design and Development	1	3
CIT 150	fa15	F2F	KCTCS	Undergraduate	Computer Networking and Hardware	1	3
CIT 150	sp16	F2F	KCTCS	Undergraduate	Computer Networking and Hardware	1	3
CIT 150	fa16	F2F	KCTCS	Undergraduate	Computer Networking and Hardware	1	3
CIT 150	sp17	F2F	KCTCS	Undergraduate	Computer Networking and Hardware	1	3
CIT 150	fa17	F2F	KCTCS	Undergraduate	Computer Networking and Hardware	1	3